,sentence,verdict,deka,y
1,คนเลว น่ารังเกียจไม่น่าคบค้าสมาคม,ผิด,785/2510,1
2,กระทำผิดอาญา กระทำอย่างไร้ความปรานี,ผิด,1112/2510,1
3,จ่ายเช็คไม่มีเงินให้,ผิด,645/2503,1
4,อ้ายชาติหมา อ้ายฉิบหาย,ไม่ผิด (เข้า 393 แทน),1734/2503,0
5,คนขายชาติ แนว 5,ผิด,990/2508,1
6,ตลาดล่ำลือว่า อิทธิสมบัติ(โจทก์) เป็นค่าจ้างในการวางเพลิงครั้งนี้ ,ไม่ผิด (ข่าวลือ ไม่ถือเป็นการใส่ความต่อบุคคลที่ 3),140/2509,0
7,ผีปอบ ชาติหมา ,ไม่ผิด (เข้า 393 แทน),256/2509,0
8,ผีปอบ,ไม่ผิด (เข้า 393 แทน),200/2511,0
9,ออกเช็คไม่มีเงิน,ผิด,1545/2513,1
10,นายกกินเนื้อของนายเนี้ยว วันละ 8 กิโล = ติดสินบน,ผิด,2296/2514,1
11,นิสัยและจิตใจคดโกง,ผิด,2822/2515,1
12,อย่าเอาไม้ไปแหย่ขี้,ไม่ผิด (แค่ไม่สุภาพ),1142/2516,0
13,ค้างชำระหนี้ เจตนาไม่ดี เป็นคนหน้าเนื้อใจเสือ เลวทรามต่ำช้าไร้มารยาทและไม่มีจรรยาทางหนัง,ผิด (แต่ตามฎีกาเข้าข้อยกเว้น),2798/2516,1
14,รถยียวน ขอจับกุม เอาใบขับขี่มา,ไม่ผิด,3176/2516,0
15,ลักเป็ดไปแกงกิน,ผิด,2021/2517,1
16,เป็นคนไม่ดี ไม่มีศีลธรรม ผู้ใหญ่บ้านหมา ๆ บ้า ๆ อย่างนี้ไม่ควรเป็นผู้ใหญ่บ้านต่อไป เพราะราษฎรได้รับความเดือดร้อน,ผิด,386-387/2506,1
17,ลักปลาในบ่อ,ผิด (ฎีกาฟ้องเคลือบคลุม),894-897/2506,1
18,คนไม่ดี เป็นคน 5 ผัว 6 ผัว ,ผิด,621/2518,1
19,พี่สาวเองมีผัวหรือยัง ควยกูนี่ใหญ่นะ พี่สาวมึงคงชอบ ขอเย็ดสักทีสองทีได้ไหม,ไม่ผิด (คาดคะเน),1399/2518,0
20,ไอ้ทนายกระจอก ทนายเฮงซวย,ไม่ผิด,2324/2518,0
21,เมียน้อย ,ผิด,472/2520,1
22,ไอ้เหี้ย ไอ้สัตว์,ไม่ผิด,445/2522,0
23,ไอ้ทองสุขโกงบ้างโกงเมือง = ข้าราชการเบียดบังทรัพย์/ยักยอก,ผิด,445/2522,1
24,ไอ้คนนี้ มันเข้าไปข่มขืนคนในบ้านฉัน,ผิด,1140/2522,1
25,ราษฎรอำเภอบ้านกรวดที่อพยพมาอยู่ที่เขากระโดงล้วนเป็นคอมมิ,ไม่ผิด (คนหมู่มาก),1636/2522,0
26,กะหรี่ที่ดิน,ผิด,2371/2522,1
27,อัปมงคลฟิล์ม บริษัทขี้เรื้อน,ไม่ผิด (เคลือบคลุม),2408/2522,0
28,ผัวมึงซี่กูแล้ว,ไม่ผิด,2940/2522,0
29,ทนายรับเงินเขาแล้วไม่เอามาให้ตัวความ,ผิด,3086/2522,1
30,เช็คไม่มีเงิน ธนาคารแจ้งตำรวจจับ ฐานะการเงินไม่ดีไม่น่าเชื่อถือ,ผิด,407/2523,1
31,โง่ทำงานไม่เป็น,ผิด,418/2523,1
32,อีควาย อีช้าง อีวัว,ไม่ผิด ,3073/2523,0
33,พิชัยเบิกเงินใส่กระเป๋าพ่อบ้าน,ไม่ผิด,72/2524,0
34,เจ๊กกุ๊ย = เลวทราม ชอบเนรคุณ,ผิด,623/2524,1
35,เช็คเอย เช็คเด้ง อ้ายเสี่ยบ้ากาม อ้ายเสี่ยบรรลัย เมื่อก่อนเป็นจับกัง ไอ้เสี่ยจ่ายเช็ค 3 พันก็เด้งเหมือนกัน,ผิด,782/2524,1
36,บักคมเป็นตำรวจหมา ๆ ,ไม่ผิด,72/2524,0
37,ถูกปลดจากการเป็นพนักงาน เพราะเป็นบุคคลมีมลทินมัวหมอง,ผิด,1459/2527,1
38,ชู้สาวต่อกันที่โรงเรียน,ผิด (ฎีกาเข้าข้อยกเว้น),6310/2539,1
39,คุณเป็นทนายไม่รีบรักษาผลประโยชน์ของลูกความเอง จะมาโทษผมได้ยังไง,ไม่ผิด (เข้าข้อยกเว้น),155/2512,0
40,ยักยอก ตามตัวไม่พบ,ผิด,79/2537,1
